Abies fraseri,Pinaceae
Acalypha rhomboidea,Euphorbiaceae
Acalypha virginica,Euphorbiaceae
Acer pensylvanicum,Sapindaceae
Acer rubrum,Sapindaceae
Acer saccharum,Sapindaceae
Acer spicatum,Sapindaceae
Achillea millefolium,Asteraceae
Aconitum reclinatum,Ranunculaceae
Aconitum uncinatum,Ranunculaceae
Actaea pachypoda,Ranunculaceae
Adiantum pedatum,Pteridaceae
Aesculus flava,Sapindaceae
Agalinis purpurea,Orobanchaceae
Agalinis tenuifolia,Orobanchaceae
Agrimonia gryposepala,Rosaceae
Agrimonia microcarpa,Rosaceae
Agrimonia parviflora,Rosaceae
Agrimonia rostellata,Rosaceae
Agrostis elliottiana,Poaceae
Agrostis perennans,Poaceae
Agrostis stolonifera,Poaceae
Agrostis tenuis,Poaceae
Aletris farinosa,Nartheciaceae
Allium tricoccum,Amaryllidaceae
Allium vineale,Amaryllidaceae
Alnus serrulata,Betulaceae
Ambrosia artemisiifolia,Asteraceae
Amelanchier arborea,Rosaceae
Amianthium muscitoxicum,Melanthiaceae
Amphicarpa bracteata,Fabaceae
Andropogon gerardii,Poaceae
Andropogon scoparius,Poaceae
Andropogon ternarius,Poaceae
Andropogon virginicus,Poaceae
Anemone quinquefolia,Ranunculaceae
Anemone virginiana,Ranunculaceae
Angelica triquinata,Apiaceae
Angelica venenosa,Apiaceae
Antennaria plantaginifolia,Asteraceae
Antennaria solitaria,Asteraceae
Anthoxanthum odoratum,Poaceae
Aplectrum hyemale,Orchidaceae
Apocynum cannabinum,Apocynaceae
Arabidopsis thaliana,Brassicaceae
Arabis canadensis,Brassicaceae
Arabis laevigata,Brassicaceae
Aralia nudicaulis,Araliaceae
Aralia racemosa,Araliaceae
Aralia spinosa,Araliaceae
Arisaema triphyllum,Araceae
Aristolochia macrophylla,Aristolochiaceae
Arnoglossum atriplicifolium,Asteraceae
Arnoglossum reniforme,Asteraceae
Aronia arbutifolia,Rosaceae
Aronia melanocarpa,Rosaceae
Aruncus dioicus,Rosaceae
Arundinaria gigantea,Poaceae
Asclepias exaltata,Apocynaceae
Asclepias incarnata ssp. pulchra,Apocynaceae
Asclepias quadrifolia,Apocynaceae
Asclepias tuberosa,Apocynaceae
Asplenium montanum,Aspleniaceae
Asplenium platyneuron,Aspleniaceae
Asplenium trichomanes,Aspleniaceae
Aster dumosus,Asteraceae
Astilbe biternata,Saxifragaceae
Athyrium filix-femina var. asplenioides,Woodsiaceae
Aureolaria flava,Orobanchaceae
Aureolaria laevigata,Orobanchaceae
Baptisia tinctoria,Fabaceae
Barbarea verna,Brassicaceae
Barbarea vulgaris var. arcuata,Brassicaceae
Berberis thunbergii,Berberidaceae
Betula alleghaniensis,Betulaceae
Betula lenta,Betulaceae
Bidens bipinnata,Asteraceae
Bidens frondosa,Asteraceae
Boechera canadensis,Brassicaceae
Botrychium alabamense,Ophioglossaceae
Botrychium dissectum,Ophioglossaceae
Botrychium virginianum,Ophioglossaceae
Brachyelytrum erectum,Poaceae
Bromus purgans,Poaceae
Bulbostylis capillaris,Cyperaceae
Calamagrostis cinnoides,Poaceae
Calycanthus floridus,Calycanthaceae
Calystegia catesbeiana subsp. sericata,Convolvulaceae
Calystegia sericata,Convolvulaceae
Campanula divaricata,Campanulaceae
Capnoides sempervirens,Papaveraceae
Cardamine clematitis,Brassicaceae
Cardamine diphylla,Brassicaceae
Cardamine flagellifera,Brassicaceae
Cardamine hirsuta,Brassicaceae
Carex aestivalis,Cyperaceae
Carex austro-caroliniana,Cyperaceae
Carex communis,Cyperaceae
Carex crebriflora,Cyperaceae
Carex crinita,Cyperaceae
Carex debilis var. pubera,Cyperaceae
Carex debilis var. rudgei,Cyperaceae
Carex incomperta,Cyperaceae
Carex intumescens,Cyperaceae
Carex laxiflora,Cyperaceae
Carex leptalea,Cyperaceae
Carex muricata var. ruthii,Cyperaceae
Carex pensylvanica,Cyperaceae
Carex scabrata,Cyperaceae
Carex sp. ,Cyperaceae
Carex tribuloides,Cyperaceae
Carex vulpinoidea,Cyperaceae
Carex lurida,Cyperaceae
Carpinus caroliniana,Betulaceae
Carya glabra,Juglandaceae
Carya ovalis,Juglandaceae
Carya pallida,Juglandaceae
Carya tomentosa,Juglandaceae
Cassia fasciculata,Fabaceae
Cassia hebecarpa,Fabaceae
Castanea dentata,Fagaceae
Castanea mollissima,Fagaceae
Castanea pumila,Fagaceae
Catalpa bignonioides,Bignoniaceae
Caulophyllum thalictroides,Berberidaceae
Ceanothus americanus,Rhamnaceae
Celtis occidentalis,Cannabaceae
Cerastium holosteoides var. vulgare,Caryophyllaceae
Chelone glabra,Plantaginaceae
Chimaphila maculata,Ericaceae
Chionanthus virginicus,Oleaceae
Cimicifuga americana,Ranunculaceae
Cimicifuga racemosa,Ranunculaceae
Circaea lutetiana subsp. canadensis,Onagraceae
Cirsium discolor,Asteraceae
Cirsium vulgare,Asteraceae
Claytonia virginica,Montiaceae
Clematis virginiana,Ranunculaceae
Clethra acuminata,Clethraceae
Clintonia umbellata,Liliaceae
Collinsonia canadensis,Lamiaceae
Commelina communis,Commelinaceae
Commelina erecta,Commelinaceae
Conoclinium coelestinum,Asteraceae
Conopholis americana,Orobanchaceae
Convolvulus arvensis,Convolvulaceae
Coreopsis major,Asteraceae
Coreopsis pubescens,Asteraceae
Cornus alternifolia,Cornaceae
Cornus amomum,Cornaceae
Cornus florida,Cornaceae
Crataegus flabellata,Rosaceae
Cryptotaenia canadensis,Apiaceae
Cuscuta compacta,Convolvulaceae
Cuscuta gronovii,Convolvulaceae
Cuscuta rostrata,Convolvulaceae
Cymophyllus fraserianus,Cyperaceae
Cyperus sp.,Cyperaceae
Cyperus strigosus,Cyperaceae
Cypripedium acaule,Orchidaceae
Cypripedium calceolus var. pubescens,Orchidaceae
Cystopteris protrusa,Cystopteridaceae
Danthonia compressa,Poaceae
