Acer pensylvanicum,Sapindaceae
Acer rubrum,Sapindaceae
Acer saccharum,Sapindaceae
Acer spicatum,Sapindaceae
Achillea millefolium,Asteraceae
Actaea pachypoda,Ranunculaceae
Actaea racemosa,Ranunculaceae
Adiantum pedatum,Pteridaceae
Aesculus flava,Sapindaceae
Ageratina altissima,Asteraceae
Agrimonia gryposepala,Rosaceae
Alnus serrulata,Betulaceae
Alyssum alyssoides,Brassicaceae
Amelanchier arborea,Rosaceae
Amelanchier laevis,Rosaceae
Amianthium muscitoxicum,Melanthiaceae
Amphicarpaea bracteata,Fabaceae
Anemone lancifolia,Ranunculaceae
Anemone quinquefolia,Ranunculaceae
Anemone virginiana,Ranunculaceae
Angelica triquinata,Apiaceae
Apios americana,Fabaceae
Apocynum androsaemifolium,Apocynaceae
Aralia nudicaulis,Araliaceae
Aralia racemosa,Araliaceae
Arctium minus,Asteraceae
Arenaria serpyllifolia var. tenuior,Caryophyllaceae
Arisaema triphyllum,Araceae
Aronia melanocarpa,Rosaceae
Aruncus dioicus,Rosaceae
Asarum canadense,Aristolochiaceae
Asclepias syriaca,Apocynaceae
Asplenium platyneuron,Aspleniaceae
Athyrium asplenioides,Woodsiaceae
Barbarea vulgaris,Brassicaceae
Betula alleghaniensis,Betulaceae
Betula lenta,Betulaceae
Botrychium oneidense,Ophioglossaceae
Botrypus virginianus,Ophioglossaceae
Boykinia aconitifolia,Saxifragaceae
Brachyelytrum aristosum,Poaceae
Brassica sp.,Brassicaceae
Callitriche heterophylla,Plantaginaceae
Campanula divaricata,Campanulaceae
Campanula rapunculoides,Campanulaceae
Cardamine pensylvanica,Brassicaceae
Cardamine rotundifolia,Brassicaceae
Carex digitalis,Cyperaceae
Carex frankii,Cyperaceae
Carex gynandra,Cyperaceae
Carex platyphylla,Cyperaceae
Carex radiata,Cyperaceae
Carex rosea,Cyperaceae
Carya glabra,Juglandaceae
Carya ovata,Juglandaceae
Castanea dentata,Fagaceae
Caulophyllum thalictroides,Berberidaceae
Centaurea stoebe ssp. micranthos,Asteraceae
Chaenorhinum minus,Plantaginaceae
Chamaelirium luteum,Melanthiaceae
Chimaphila maculata,Ericaceae
Cichorium intybus,Asteraceae
Cicuta maculata,Apiaceae
Circaea alpina,Onagraceae
Circaea canadensis,Onagraceae
Cirsium discolor,Asteraceae
Cirsium vulgare,Asteraceae
Clematis virginiana,Ranunculaceae
Clinopodium vulgare,Lamiaceae
Clintonia borealis,Liliaceae
Clintonia umbellulata,Liliaceae
Collinsonia canadensis,Lamiaceae
Commelina communis,Commelinaceae
Conium maculatum,Apiaceae
Conopholis americana,Orobanchaceae
Convallaria majalis,Asparagaceae
Corallorhiza maculata,Orchidaceae
Corallorhiza odontorhiza,Orchidaceae
Coreopsis major,Asteraceae
Cornus alternifolia,Cornaceae
Cornus amomum,Cornaceae
Corylus cornuta,Betulaceae
Crataegus macrosperma,Rosaceae
Cryptotaenia canadensis,Apiaceae
Cyperus sp.,Cyperaceae
Cypripedium acaule,Orchidaceae
Cypripedium parviflorum var. pubescens,Orchidaceae
Danthonia spicata,Poaceae
Daucus carota,Apiaceae
Dendrolycopodium obscurum,Lycopodiaceae
Dennstaedtia punctilobula,Dennstaedtiaceae
Dianthus armeria,Caryophyllaceae
Dicentra canadensis,Papaveraceae
Dichanthelium clandestinum,Poaceae
Dichanthelium dichotomum,Poaceae
Dichanthelium latifolium,Poaceae
Dioscorea villosa,Dioscoreaceae
Diphasiastrum digitatum,Lycopodiaceae
Dryopteris campyloptera,Dryopteridaceae
Dryopteris carthusiana,Dryopteridaceae
Dryopteris goldiana,Dryopteridaceae
Dryopteris intermedia,Dryopteridaceae
Dryopteris marginalis,Dryopteridaceae
Elaeagnus umbellata,Elaeagnaceae
Elymus hystrix,Poaceae
Epipactis helleborine,Orchidaceae
Equisetum arvense,Equisetaceae
Erigeron annuus,Asteraceae
Eupatorium perfoliatum,Asteraceae
Eupatorium serotinum,Asteraceae
Eurybia macrophylla,Asteraceae
Euthamia graminifolia,Asteraceae
Eutrochium fistulosum,Asteraceae
Fagus grandifolia,Fagaceae
Fallopia convolvulus,Polygonaceae
Fallopia cristata,Polygonaceae
Festuca subverticillata,Poaceae
Fragaria virginiana,Rosaceae
Fraxinus americana,Oleaceae
Galax urceolata,Diapensiaceae
Galinsoga parviflora,Asteraceae
Galium tinctorium,Rubiaceae
Galium triflorum,Rubiaceae
Gaultheria procumbens,Ericaceae
Gaylussacia baccata,Ericaceae
Geranium maculatum,Geraniaceae
Geum canadense,Rosaceae
Glechoma hederacea,Lamiaceae
Goodyera pubescens,Orchidaceae
Hamamelis virginiana,Hamamelidaceae
Helianthus decapetalus,Asteraceae
Hepatica acutiloba,Ranunculaceae
Heuchera villosa,Saxifragaceae
Hieracium pilosella,Asteraceae
Houstonia caerulea,Rubiaceae
Huperzia lucidula,Lycopodiaceae
Hydatica petiolaris,Saxifragaceae
Hydrangea arborescens,Hydrangeaceae
Hydrophyllum canadense,Boraginaceae
Hydrophyllum virginianum,Boraginaceae
Hylodesmum glutinosum,Fabaceae
