Acer rubrum,Sapindaceae
Acmella oppositifolia var. repens,Asteraceae
Aeschynomene viscidula,Fabaceae
Agalinis fasciculata,Orobanchaceae
Agalinis filifolia,Orobanchaceae
Agalinis plukenetii,Orobanchaceae
Agalinis setacea,Orobanchaceae
Ageratina jucunda,Asteraceae
Agrostis hyemalis,Poaceae
Albizia julibrissin,Fabaceae
Alysicarpus ovalifolius,Fabaceae
Ambrosia artemisiifolia,Asteraceae
Amorpha fruticosa,Fabaceae
Amorpha herbacea,Fabaceae
Amphicarpum muhlenbergianum,Poaceae
Amsonia ciliata,Apocynaceae
Andropogon brachystachyus,Poaceae
Andropogon capillipes,Poaceae
Andropogon floridanus,Poaceae
Andropogon glomeratus,Poaceae
Andropogon glomeratus var. glaucopsis,Poaceae
Andropogon gyrans var. stenophyllus,Poaceae
Andropogon ternarius,Poaceae
Andropogon tracyi,Poaceae
Andropogon virginicus,Poaceae
Anthaenantia villosa,Poaceae
Apios americana,Fabaceae
Aralia spinosa,Araliaceae
Ardisia crenata,Primulaceae
Arenaria serpyllifolia,Caryophyllaceae
Aristida condensata,Poaceae
Aristida gyrans,Poaceae
Aristida mohrii,Poaceae
Aristida purpurascens,Poaceae
Aristida spiciformis,Poaceae
Aristida stricta,Poaceae
Aristolochia serpentaria,Aristolochiaceae
Arnoglossum floridanum,Asteraceae
Asclepias amplexicaulis,Apocynaceae
Asclepias humistrata,Apocynaceae
Asclepias tomentosa,Apocynaceae
Asclepias tuberosa,Apocynaceae
Asclepias verticillata,Apocynaceae
Asemeia violacea,Polygalaceae
Asimina angustifolia,Annonaceae
Asimina incana,Annonaceae
Asimina parviflora,Annonaceae
Asimina pygmaea,Annonaceae
Asplenium platyneuron,Aspleniaceae
Astragalus obcordatus,Fabaceae
Axonopus fissifolius,Poaceae
Axonopus furcatus,Poaceae
Baccharis halimifolia,Asteraceae
Balduina angustifolia,Asteraceae
Bejaria racemosa,Ericaceae
Berlandiera subacaulis,Asteraceae
Bidens alba,Asteraceae
Bidens mitis,Asteraceae
Bignonia capreolata,Bignoniaceae
Boehmeria cylindrica,Urticaceae
Boerhavia diffusa,Nyctaginaceae
Boltonia diffusa,Asteraceae
Bothriochloa pertusa,Poaceae
Botrychium biternatum,Ophioglossaceae
Brasenia schreberi,Cabombaceae
Bromus catharticus,Poaceae
Buchnera americana,Orobanchaceae
Bulbostylis barbata,Cyperaceae
Bulbostylis ciliatifolia,Cyperaceae
Bulbostylis ciliatifolia var. coarctata,Cyperaceae
Bulbostylis stenophylla,Cyperaceae
Bulbostylis warei,Cyperaceae
Butia capitata,Arecaceae
Buxus microphylla,Buxaceae
Callicarpa americana,Lamiaceae
Callisia graminea,Commelinaceae
Calyptocarpus vialis,Asteraceae
Camellia sasanqua,Theaceae
Campsis radicans,Bignoniaceae
Cardamine hirsuta,Brassicaceae
Carex atlantica ssp. capillacea,Cyperaceae
Carex dasycarpa,Cyperaceae
Carex elliottii,Cyperaceae
Carex fissa var. aristata,Cyperaceae
Carex floridana,Cyperaceae
Carex longii,Cyperaceae
Carphephorus corymbosus,Asteraceae
Carphephorus paniculatus,Asteraceae
Cartrema americana,Oleaceae
Carya glabra,Juglandaceae
Carya illinoinensis,Juglandaceae
Castanea mollissima,Fagaceae
Castanea pumila,Fagaceae
Ceanothus microphyllus,Rhamnaceae
Cenchrus gracillimus,Poaceae
Cenchrus spinifex,Poaceae
Centella asiatica,Apiaceae
Centrosema virginianum,Fabaceae
Cephalanthus occidentalis,Rubiaceae
Cerastium glomeratum,Caryophyllaceae
Ceratiola ericoides,Ericaceae
Chamaecrista fasciculata,Fabaceae
Chamaecrista nictitans var. aspera,Fabaceae
Chamaesyce hirta,Euphorbiaceae
Chamaesyce hyssopifolia,Euphorbiaceae
Chamaesyce maculata,Euphorbiaceae
Chapmannia floridana,Fabaceae
Chasmanthium laxum,Poaceae
Chasmanthium sessiliflorum,Poaceae
Chionanthus virginicus,Oleaceae
Chrysopsis gossypina,Asteraceae
Chrysopsis mariana,Asteraceae
Cinnamomum camphora,Lauraceae
